이미지,이름,영문이름,종류,가격,당도,바디,품종,아로마1,아로마2,아로마3
https://wine21.speedgabia.com/WINE_MST/TITLE/0163000/W0163078.jpg,써니 와인 상그리아 파우치,Sunny Wine Sangria Pouch,기타,0,3,2,블렌디드,레몬, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0163000/W0163073.jpg,루이스 더 마리네로 레드 상그리아,Luis the Marinero Red Sangria,기타,3,3,2,블렌드,레몬,베리, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0162000/W0162674.jpg,샤또 드 루 무스캇 드 리브잘트,Château de L'Ou Muscat de Rivesaltes,주정강화,6,5,4,뮈스까 블랑 쁘띠 그랑,꽃,레몬,사과
https://wine21.speedgabia.com/WINE_MST/TITLE/0162000/W0162520.jpg,프리바다 모스카텔 드 세투발 알마냑,Privada Moscatel de Setubal Almagnac,주정강화,12,5,5,모스카텔 드 세투발,레몬,숙성,시나몬
https://wine21.speedgabia.com/WINE_MST/TITLE/0162000/W0162519.jpg,알람브레 모스카텔 로쏘 드 세투발,Alambre Moscatel Roxo de Setubal,주정강화,7,5,5,뮈스까 로소 쁘띠 그랑,꽃,레몬,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0162000/W0162518.jpg,알라브레 모스카텔 드 세투발,Alambre Moscatel de Setubal,주정강화,5,5,5,모스카텔 드 세투발,사과,오크통,파인애플
https://wine21.speedgabia.com/WINE_MST/TITLE/0162000/W0162376.jpg,롤라이오 화이트 상그리아,Lolailo White Sangria,기타,0,3,2,블렌드,베리,사과, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0162000/W0162313.jpg,뷔스넬 깔바도스 페이도쥬,Busnel Calvados Pays D'Auge,고도주,10,1,5,블렌디드,사과,아몬드,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0162000/W0162145.jpg,폰세카 20년 숙성 타우니 포트,Fonseca 20 Year Old Tawny Port,주정강화,12,2,5,블렌드,사과,시나몬,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0162000/W0162144.jpg,폰세카 10년 숙성 타우니 포트,Fonseca 10 Year Old Tawny Port,주정강화,6,2,5,블렌드,오크통, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0162000/W0162143.jpg,폰세카 빈 27 포트,Fonseca Bin 27 Port,주정강화,4,5,5,블렌드,베리,사과,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0162000/W0162142.jpg,폰세카 루비 포트,Fonseca Ruby Port,주정강화,3,5,5,블렌드,베리, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0162000/W0162141.jpg,폰세카 타우니 포트,Fonseca Tawny Port,주정강화,3,5,4,블렌드,말린과일,사과,오크통
