이미지,이름,영문이름,종류,가격,당도,바디,품종,아로마1,아로마2,아로마3
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170074.png,테누타 살바테라 팔리아 비앙코,Tenuta Salvaterra Falia Bianco,화이트,2,1,1,블렌디드,꽃,사과, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170072.png,라 보데가스 푸리시마 아줄러스 화이트,La Bodegas Purisima Azules White,화이트,1,1,1,마카베오,꽃,레몬,숙성
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170070.png,보데가스 라 푸리시마 캄풀러스 라 루비아 화이트,Bodegas La Purisima Camplues La Rubia White,화이트,1,1,1,마카베오,꽃,레몬,숙성
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170055.png,마타히위 엠이,Matahiwi ME,화이트,4,1,1,소비뇽 블랑,돌,레몬, 
https://wine21.speedgabia.com/WINE_MST/IMAGE/0170000/T0170048_002.png,비노 델 솔 젠파이브 소비뇽 블랑,Vino del Sol Gen5 Sauvignon Blanc,화이트,5,1,1,소비뇽 블랑,꽃,레몬,파인애플
https://wine21.speedgabia.com/WINE_MST/IMAGE/0170000/T0170047_002.png,비노 델 솔 젠파이브 샤도네이,Vino del Sol Gen5 Chardonnay,화이트,5,1,2,블렌디드,사과,파인애플, 
https://wine21.speedgabia.com/WINE_MST/IMAGE/0170000/T0170042_002.png,펠릭스 솔리스 폴포 알바리뇨,Felix Solis Pulpo Albarino,화이트,5,1,2,알바리뇨,꽃,사과, 
https://wine21.speedgabia.com/WINE_MST/IMAGE/0170000/T0170039_002.png,펠릭스 솔리스 풀포 소비뇽 블랑,Felix Solis Pulpo Sauvignon Blanc,화이트,4,1,1,소비뇽 블랑,꽃,레몬,파인애플
https://wine21.speedgabia.com/WINE_MST/IMAGE/0170000/T0170021_002.png,파이어브랜드 샤도네이,Firebrand Chardonnay,화이트,5,1,2,샤르도네,레몬,시나몬,오크통
https://wine21.speedgabia.com/WINE_MST/IMAGE/0170000/T0170012_001.png,마르코,Marko,화이트,7,1,1,온다라비 주리,꽃,레몬,사과
https://wine21.speedgabia.com/WINE_MST/IMAGE/0170000/T0170011_001.png,마르코 로렉소아,Marko Loretxoa,화이트,11,1,1,온다라비 주리,레몬, , 
https://wine21.speedgabia.com/WINE_MST/IMAGE/0170000/T0170008_001.png,고 투 어 '일라운',Go To a 'Iraun',화이트,12,1,2,블렌디드,레몬,사과,시나몬
https://wine21.speedgabia.com/WINE_MST/IMAGE/0170000/T0170002_001.png,마르코 구레 아바수악,Marko Gure Arbasoak,화이트,10,1,1,온다라비 주리,꽃,돌,사과
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169887.png,무똥 까데 레 빠셀 블랑,Mouton Cadet Les Parcelles Blanc,화이트,3,1,2,블렌디드,꽃,사과,시나몬
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169886.png,무똥 까데 블랑,Mouton Cadet Blanc,화이트,2,1,2,블렌디드,꽃,돌,레몬
